experiment_state_timestamp,save_interval_secs,last_save_timestamp,temperature_1_C,humidity_1,egg_turning_on,target_temperature,cooling_start_temperature,heating_proportional_Cf,heating_integral_Cf,heating_derivitive_Cf,target_humidity,range_humidity,control_change_minimum_secs,last_control_change_timestamp,last_fan_on_timestamp,last_turner_change_timestamp,front_switch,rear_switch,near_switch,far_switch,door_switch,exhaust_on,humidifyer_on,heater_on,fan_on
1771869593.2733765,20,1771869990.6949775,39.53,0.5672,True,39.5,38.2,0.95,0.005,0.0,0.6,0.03,2,1771870000.7565088,1771869957.5060925,0,0,1,0,1,-1,0.1,1,0,False
1771869593.2733765,20,1771870010.8426,39.7,0.5746,True,39.5,38.2,0.95,0.005,0.0,0.6,0.03,2,1771870020.9556599,1771869957.5060925,0,0,1,0,1,-1,0.1,0,0,False
1771869593.2733765,20,1771870031.0423863,39.75,0.5760000000000001,True,39.5,38.2,0.95,0.005,0.0,0.6,0.03,2,1771870041.111771,1771869957.5060925,0,0,1,0,1,-1,0.1,0,0,False
1771869593.2733765,20,1771870051.1924949,39.8,0.5684,True,39.5,38.2,0.95,0.005,0.0,0.6,0.03,2,1771870061.2537172,1771869957.5060925,0,0,1,0,1,-1,0.1,1,0,False
1771869593.2733765,20,1771870071.3223212,39.84,0.5750000000000001,True,39.5,38.2,0.95,0.005,0.0,0.6,0.03,2,1771870081.3972652,1771869957.5060925,0,0,1,0,1,-1,0.1,0,0,False
1771869593.2733765,20,1771870091.4967477,39.86,0.5769,True,39.5,38.2,0.95,0.005,0.0,0.6,0.03,2,1771870101.5620732,1771869957.5060925,0,0,1,0,1,-1,0.1,0,0,False
1771869593.2733765,20,1771870111.6594872,39.84,0.5702,True,39.5,38.2,0.95,0.005,0.0,0.6,0.03,2,1771870121.7244236,1771869957.5060925,0,0,1,0,1,-1,0.1,0,0,False
1771869593.2733765,20,1771870131.8267756,39.8,0.5652,True,39.5,38.2,0.95,0.005,0.0,0.6,0.03,2,1771870141.927522,1771870137.5117085,0,0,1,0,1,-1,0.1,1,0,False
1771869593.2733765,20,1771870152.001164,39.76,0.5806,True,39.5,38.2,0.95,0.005,0.0,0.6,0.03,2,1771870162.0906205,1771870137.5117085,0,0,1,0,1,-1,0.1,0,0,False
1771869593.2733765,20,1771870172.1838884,39.7,0.5731,True,39.5,38.2,0.95,0.005,0.0,0.6,0.03,2,1771870182.2511086,1771870137.5117085,0,0,1,0,1,-1,0.1,0,0,False
1771869593.2733765,20,1771870192.3044217,39.62,0.5686,True,39.5,38.2,0.95,0.005,0.0,0.6,0.03,2,1771870202.3932047,1771870137.5117085,0,0,1,0,1,-1,0.1,1,0,False
1771869593.2733765,20,1771870212.4800196,39.59,0.5769,True,39.5,38.2,0.95,0.005,0.0,0.6,0.03,2,1771870222.557528,1771870137.5117085,0,0,1,0,1,-1,0.1,0,0,False
1771869593.2733765,20,1771870232.6363385,39.51,0.5813,True,39.5,38.2,0.95,0.005,0.0,0.6,0.03,2,1771870242.722936,1771870137.5117085,0,0,1,0,1,-1,0.1,0,0,False
1771869593.2733765,20,1771870252.7935271,39.43,0.5763,True,39.5,38.2,0.95,0.005,0.0,0.6,0.03,2,1771870262.8914764,1771870137.5117085,0,0,1,0,1,-1,0,0,1,False
1771869593.2733765,20,1771870272.9703805,39.34,0.5744,True,39.5,38.2,0.95,0.005,0.0,0.6,0.03,2,1771870283.0442286,1771870137.5117085,0,0,1,0,1,-1,0,0,1,False
1771870314.5130763,20,0,39.23,0.5733,True,39.5,38.2,0.95,0.005,0.0,0.6,0.03,2,1771870318.6460865,1771870318.6694918,0,0,1,0,1,-1,0,0,0.2615334357230692,False
1771870314.5130763,20,1771870328.7218676,39.18,0.5716,True,39.5,38.2,0.95,0.005,0.0,0.6,0.03,2,1771870338.7764583,1771870318.6694918,0,0,1,0,1,-1,0,0,0.3407378180006815,False
1771870369.7273107,20,0,39.18,0.574,True,39.5,38.2,0.95,0.005,0.0,0.6,0.03,2,1771870373.7982159,1771870373.8208613,0,0,1,0,1,-1,0,0,0.30997876380002154,True
1771870369.7273107,20,1771870383.8660672,39.18,0.5689000000000001,True,39.5,38.2,0.95,0.005,0.0,0.6,0.03,2,1771870393.905687,1771870373.8208613,0,0,1,0,1,-1,False,True,0.34215072096642135,True
1771870369.7273107,20,1771870403.93594,39.09,0.5682,True,39.5,38.2,0.95,0.005,0.0,0.6,0.03,2,1771870413.989507,1771870373.8208613,0,0,1,0,1,-1,False,True,0.46832073610523894,True
1771870369.7273107,20,1771870424.0385103,39.09,0.5777,True,39.5,38.2,0.95,0.005,0.0,0.6,0.03,2,1771870434.092813,1771870373.8208613,0,0,1,0,1,-1,0,0,0.5100352961520629,True
1771870369.7273107,20,1771870444.1746736,39.01,0.562,True,39.5,38.2,0.95,0.005,0.0,0.6,0.03,2,1771870454.229295,1771870373.8208613,0,0,1,0,1,-1,False,True,0.6348652023738265,True
1771870369.7273107,20,1771870464.2771883,38.98,0.5733,True,39.5,38.2,0.95,0.005,0.0,0.6,0.03,2,1771870474.3265176,1771870373.8208613,0,0,1,0,1,-1,0,0,0.7146126824400415,True
1771870369.7273107,20,1771870484.3761027,38.92,0.5692,True,39.5,38.2,0.95,0.005,0.0,0.6,0.03,2,1771870494.4324005,1771870373.8208613,0,0,1,0,1,-1,False,True,0.8284111840584789,True
1771870369.7273107,20,1771870504.507899,38.86,0.5678,True,39.5,38.2,0.95,0.005,0.0,0.6,0.03,2,1771870514.5652006,1771870373.8208613,0,0,1,0,1,-1,False,True,0.9488279996348341,True
1771870369.7273107,20,1771870524.6156826,38.82,0.5806,True,39.5,38.2,0.95,0.005,0.0,0.6,0.03,2,1771870534.6730635,1771870373.8208613,0,0,1,0,1,-1,0,0,1,True
1771870369.7273107,20,1771870544.7193499,38.76,0.5649000000000001,True,39.5,38.2,0.95,0.005,0.0,0.6,0.03,2,1771870554.7576041,1771870553.842379,0,0,1,0,1,-1,False,True,1,True
1771870369.7273107,20,1771870564.839415,38.73,0.568,True,39.5,38.2,0.95,0.005,0.0,0.6,0.03,2,1771870574.899009,1771870553.842379,0,0,1,0,1,-1,False,True,1,True
1771870369.7273107,20,1771870584.9272857,38.72,0.5794,True,39.5,38.2,0.95,0.005,0.0,0.6,0.03,2,1771870594.9751573,1771870553.842379,0,0,1,0,1,-1,0,0,1,True
1771870369.7273107,20,1771870605.02671,38.72,0.5638000000000001,True,39.5,38.2,0.95,0.005,0.0,0.6,0.03,2,1771870615.0717297,1771870553.842379,0,0,1,0,1,-1,False,True,1,True
1771870369.7273107,20,1771870625.1495404,38.72,0.5655,True,39.5,38.2,0.95,0.005,0.0,0.6,0.03,2,1771870635.2030075,1771870553.842379,0,0,1,0,1,-1,False,True,1,True
1771870369.7273107,20,1771870645.2562778,38.74,0.579,True,39.5,38.2,0.95,0.005,0.0,0.6,0.03,2,1771870655.303854,1771870553.842379,0,0,1,0,1,-1,0,0,1,True
1771870369.7273107,20,1771870665.3556683,38.75,0.5629,True,39.5,38.2,0.95,0.005,0.0,0.6,0.03,2,1771870675.411645,1771870553.842379,0,0,1,0,1,-1,False,True,1,True
