experiment_begin_timestamp,experiment_sec,experiment_state_timestamp,save_interval_secs,last_save_timestamp,temperature_1_C,humidity_1,temperature_2_C,humidity_2,thermocouple_1,thermocouple_2,target_temperature,heating_proportional_Cf,cooling_proportional_Cf,target_humidity_high,target_humidity_low,control_change_minimum_secs,last_control_change_timestamp,last_fan_on_timestamp,fan_on,humidifyer_on,heater_on
-1000,0,1728533145.8343992,20,0,36.49,0.4379,36.65,0.4106,38.441,38.188,40.33,5.0,1.0,0.45,0.4,2,1728533147.3185112,0,0,0,1
-1000,0,1728533145.8343992,20,1728533150.5759687,36.5,0.43770000000000003,36.69,0.41000000000000003,38.826,38.282,40.33,5.0,1.0,0.45,0.4,2,1728533170.047433,0,0,0,1
-1000,0,1728533145.8343992,20,1728533173.3001075,36.51,0.4376,36.69,0.41000000000000003,39.092,38.537,40.33,5.0,1.0,0.45,0.4,2,1728533192.75261,0,0,0,1
-1000,0,1728533145.8343992,20,1728533196.0029497,36.52,0.4374,36.67,0.40990000000000004,39.198,38.534,40.33,5.0,1.0,0.45,0.4,2,1728533215.45058,0,0,0,1
-1000,0,1728533145.8343992,20,1728533218.6974971,36.54,0.4374,36.72,0.4098,39.459,38.704,40.33,5.0,1.0,0.45,0.4,2,1728533238.1484246,0,0,0,1
-1000,0,1728533145.8343992,20,1728533241.3965344,36.59,0.43710000000000004,36.74,0.40950000000000003,39.669,38.811,40.33,5.0,1.0,0.45,0.4,2,1728533260.8743365,0,0,0,1
-1000,0,1728533145.8343992,20,1728533264.1251366,36.59,0.43729999999999997,36.77,0.4093,39.804,38.954,40.33,5.0,1.0,0.45,0.4,2,1728533283.5881474,0,0,0,1
-1000,0,1728533145.8343992,20,1728533286.8433278,36.6,0.43710000000000004,36.78,0.4097,39.918,38.997,40.33,5.0,1.0,0.45,0.4,2,1728533306.2935927,0,0,0,1
-1000,0,1728533145.8343992,20,1728533309.5440502,36.65,0.43729999999999997,36.83,0.409,40.086,39.122,40.33,5.0,1.0,0.45,0.4,2,1728533328.9996064,0,0,0,1
-1000,0,1728533145.8343992,20,1728533332.2500787,36.67,0.43700000000000006,36.88,0.409,40.081,39.133,40.33,5.0,1.0,0.45,0.4,2,1728533351.7042956,0,0,0,1
-1000,0,1728533145.8343992,20,1728533354.9513483,36.69,0.43710000000000004,36.93,0.40770000000000006,40.247,39.328,40.33,5.0,1.0,0.45,0.4,2,1728533374.4154806,0,0,0,0.41499999999999204
-1000,0,1728533145.8343992,20,1728533377.6655633,36.76,0.43700000000000006,36.98,0.40770000000000006,40.053,39.211,40.33,5.0,1.0,0.45,0.4,2,1728533397.1233163,0,0,0,1
-1000,0,1728533145.8343992,20,1728533400.374564,36.78,0.4368,37.06,0.4073,40.222,39.323,40.33,5.0,1.0,0.45,0.4,2,1728533419.8241272,0,0,0,0.5399999999999849
-1000,0,1728533145.8343992,20,1728533423.0743005,36.82,0.4364,37.06,0.4068,40.11,39.186,40.33,5.0,1.0,0.45,0.4,2,1728533442.5263743,0,0,0,1
-1000,0,1728533145.8343992,20,1728533445.7769735,36.84,0.4362,37.09,0.40630000000000005,40.279,39.36,40.33,5.0,1.0,0.45,0.4,2,1728533465.2290947,0,0,0,0.25499999999997414
-1000,0,1728533145.8343992,20,1728533468.4789076,36.89,0.436,37.2,0.4057,40.2,39.331,40.33,5.0,1.0,0.45,0.4,2,1728533487.941071,0,0,0,0.6499999999999773
-1000,0,1728533145.8343992,20,1728533491.1892776,36.95,0.43579999999999997,37.24,0.40520000000000006,40.193,39.37,40.33,5.0,1.0,0.45,0.4,2,1728533510.6575284,0,0,0,0.6850000000000023
-1000,0,1728533145.8343992,20,1728533513.9054174,36.97,0.4355,37.3,0.4048,40.156,39.347,40.33,5.0,1.0,0.45,0.4,2,1728533533.3585,0,0,0,0.8699999999999974
-1000,0,1728533145.8343992,20,1728533536.6096869,36.98,0.4351,37.3,0.40409999999999996,39.97,39.299,40.33,5.0,1.0,0.45,0.4,2,1728533556.0719333,0,0,0,1
-1000,0,1728533145.8343992,20,1728533559.323988,37.0,0.43460000000000004,37.34,0.4035,40.28,39.511,40.33,5.0,1.0,0.45,0.4,2,1728533578.7812681,0,0,0,0.2499999999999858
-1000,0,1728533145.8343992,20,1728533582.0269215,37.02,0.4341,37.4,0.4029,40.25,39.587,40.33,5.0,1.0,0.45,0.4,2,1728533601.4929185,0,0,0,0.3999999999999915
-1000,0,1728533145.8343992,20,1728533604.7432308,37.08,0.4336,37.44,0.4023,40.209,39.519,40.33,5.0,1.0,0.45,0.4,2,1728533624.1934478,0,0,0,0.6049999999999756
-1000,0,1728533145.8343992,20,1728533627.442727,37.16,0.4335,37.51,0.40159999999999996,40.284,39.511,40.33,5.0,1.0,0.45,0.4,2,1728533646.8954697,0,0,0,0.22999999999999687
-1000,0,1728533145.8343992,20,1728533650.1475742,37.16,0.433,37.53,0.4012,40.219,39.472,40.33,5.0,1.0,0.45,0.4,2,1728533669.5969865,0,0,0,0.5549999999999855
-1000,0,1728533145.8343992,20,1728533672.8479133,37.2,0.4324,37.55,0.401,40.172,39.678,40.33,5.0,1.0,0.45,0.4,2,1728533692.3025784,0,0,0,0.7900000000000063
-1000,0,1728533145.8343992,20,1728533695.5561316,37.26,0.43210000000000004,37.6,0.39990000000000003,40.174,39.593,40.33,5.0,1.0,0.45,0.4,2,1728533715.0112085,0,0,0,0.779999999999994
-1000,0,1728533145.8343992,20,1728533718.2566128,37.29,0.43170000000000003,37.63,0.3994,40.171,39.596,40.33,5.0,1.0,0.45,0.4,2,1728533737.7045608,0,0,0,0.7949999999999946
-1000,0,1728533145.8343992,20,1728533740.9521472,37.31,0.43090000000000006,37.67,0.39890000000000003,40.206,39.588,40.33,5.0,1.0,0.45,0.4,2,1728533760.4093494,0,0,0,0.6199999999999761
-1000,0,1728533145.8343992,20,1728533763.6603947,37.34,0.4307,37.7,0.3983,40.218,39.705,40.33,5.0,1.0,0.45,0.4,2,1728533783.1044056,0,0,0,0.5599999999999739
