experiment_state_timestamp,save_interval_secs,last_save_timestamp,temperature_1_C,humidity_1,target_temperature,cooling_start_temperature,heating_proportional_Cf,heating_integral_Cf,heating_derivitive_Cf,target_humidity,range_humidity,control_change_minimum_secs,last_control_change_timestamp,last_fan_on_timestamp,last_turner_change_timestamp,front_switch,rear_switch,near_switch,far_switch,exhaust_on,humidifyer_on,heater_on,fan_on
1768957255.0221,20,1769055119.1770082,37.39,0.5707,37.5,38,1.9,0.004,0.0,0.6,0.03,2,1769055139.0244071,1769055019.8868332,1769052489.6848063,0.00851,1.0,0.00851,1.0,0,0,1,False
1768957255.0221,20,1769055139.4390776,37.34,0.5754,37.5,38,1.9,0.004,0.0,0.6,0.03,2,1769055159.3003187,1769055019.8868332,1769052489.6848063,0.00888,1.0,0.00888,1.0,0,0,1,False
1768957255.0221,20,1769055159.7070951,37.34,0.5861999999999999,37.5,38,1.9,0.004,0.0,0.6,0.03,2,1769055179.5688093,1769055019.8868332,1769052489.6848063,0.00803,1.0,0.00803,1.0,0,0,1,False
1768957255.0221,20,1769055179.9783735,37.37,0.5834,37.5,38,1.9,0.004,0.0,0.6,0.03,2,1769055199.8739858,1769055200.8066285,1769052489.6848063,0.00793,1.0,0.00793,1.0,0,0,1,False
1768957255.0221,20,1769055200.8096905,37.39,0.5755,37.5,38,1.9,0.004,0.0,0.6,0.03,2,1769055220.7014873,1769055200.8066285,1769052489.6848063,0.00845,1.0,0.00845,1.0,0,0,1,False
1768957255.0221,20,1769055221.1155822,37.37,0.5683,37.5,38,1.9,0.004,0.0,0.6,0.03,2,1769055240.9737647,1769055200.8066285,1769052489.6848063,0.00842,1.0,0.00842,1.0,False,True,1,False
1768957255.0221,20,1769055241.3900392,37.42,0.5811999999999999,37.5,38,1.9,0.004,0.0,0.6,0.03,2,1769055261.2628424,1769055200.8066285,1769052489.6848063,0.00879,1.0,0.00879,1.0,0,0,1,False
1768957255.0221,20,1769055261.6778016,37.43,0.5864,37.5,38,1.9,0.004,0.0,0.6,0.03,2,1769055281.5416095,1769055200.8066285,1769052489.6848063,0.0079,1.0,0.0079,1.0,0,0,1,False
1768957255.0221,20,1769055281.9575312,37.45,0.5820000000000001,37.5,38,1.9,0.004,0.0,0.6,0.03,2,1769055301.8384292,1769055200.8066285,1769052489.6848063,0.0087,1.0,0.0087,1.0,0,0,1,False
1768957255.0221,20,1769055302.244287,37.44,0.5754,37.5,38,1.9,0.004,0.0,0.6,0.03,2,1769055322.1089995,1769055200.8066285,1769052489.6848063,0.008,1.0,0.008,1.0,0,0,1,False
1768957255.0221,20,1769055322.524454,37.49,0.5684,37.5,38,1.9,0.004,0.0,0.6,0.03,2,1769055342.3752072,1769055200.8066285,1769052489.6848063,0.00867,1.0,0.00867,1.0,False,True,1,False
1768957255.0221,20,1769055342.7928648,37.55,0.5829,37.5,38,1.9,0.004,0.0,0.6,0.03,2,1769055362.7439322,1769055200.8066285,1769052489.6848063,0.0087,1.0,0.0087,1.0,0,0,0,False
1768957255.0221,20,1769055362.8071568,37.55,0.5869,37.5,38,1.9,0.004,0.0,0.6,0.03,2,1769055382.7573793,1769055381.353948,1769052489.6848063,0.00812,1.0,0.00812,1.0,0,0,0,False
1768957255.0221,20,1769055382.8198876,37.56,0.5795,37.5,38,1.9,0.004,0.0,0.6,0.03,2,1769055402.8183918,1769055381.353948,1769052489.6848063,0.00818,1.0,0.00818,1.0,0,0,0,False
1768957255.0221,20,1769055402.8810296,37.57,0.5714,37.5,38,1.9,0.004,0.0,0.6,0.03,2,1769055422.8763118,1769055381.353948,1769052489.6848063,0.00858,1.0,0.00858,1.0,0,0,0,False
1768957255.0221,20,1769055422.9389427,37.55,0.5710000000000001,37.5,38,1.9,0.004,0.0,0.6,0.03,2,1769055442.8955035,1769055381.353948,1769052489.6848063,0.008,1.0,0.008,1.0,0,0,0,False
1768957255.0221,20,1769055442.9580035,37.55,0.5847,37.5,38,1.9,0.004,0.0,0.6,0.03,2,1769055462.9028754,1769055381.353948,1769052489.6848063,0.0087,1.0,0.0087,1.0,0,0,0,False
1768957255.0221,20,1769055462.9650521,37.54,0.5819,37.5,38,1.9,0.004,0.0,0.6,0.03,2,1769055482.9543767,1769055381.353948,1769052489.6848063,0.00873,1.0,0.00873,1.0,0,0,0,False
1768957255.0221,20,1769055483.0078602,37.47,0.5758,37.5,38,1.9,0.004,0.0,0.6,0.03,2,1769055502.7356014,1769055381.353948,1769052489.6848063,0.00842,1.0,0.00842,1.0,0,0,1,False
1768957255.0221,20,1769055503.1511872,37.43,0.5695,37.5,38,1.9,0.004,0.0,0.6,0.03,2,1769055522.8459485,1769055381.353948,1769052489.6848063,0.00821,1.0,0.00821,1.0,False,True,1,False
1768957255.0221,20,1769055523.2619357,37.44,0.5788000000000001,37.5,38,1.9,0.004,0.0,0.6,0.03,2,1769055543.1051595,1769055381.353948,1769052489.6848063,0.00861,1.0,0.00861,1.0,0,0,1,False
