experiment_state_timestamp,save_interval_secs,last_save_timestamp,temperature_1_C,humidity_1,temperature_2_C,egg_turning_on,target_temperature,boost_temperature,cooling_start_temperature,heating_proportional_Cf,heating_integral_Cf,heating_derivitive_Cf,target_humidity,range_humidity,control_change_minimum_secs,last_control_change_timestamp,front_turn_switch,rear_turn_switch,top_switch,venting_state,last_venting_timestamp,exhaust_on,humidifyer_on,heater_on,boost_on,CO2ppm,fan_on
1790099350.1267283,20,1790164809.9565241,21.352330815594712,0.5879453727016098,21.218814373998626,True,37.5,36.5,38.6,0.95,0.05,0.0,0.58,0.01,2,1790164820.184411,False,True,False,False,1790099350.2358587,0,0,1,1,975,False
1790099350.1267283,20,1790164830.0601025,21.365682459754325,0.5877470054169528,21.245517662317837,True,37.5,36.5,38.6,0.95,0.05,0.0,0.58,0.01,2,1790164840.2409933,False,True,False,False,1790099350.2358587,0,0,1,1,974,False
1790099350.1267283,20,1790164850.1814892,21.352330815594712,0.5877470054169528,21.25886930647745,True,37.5,36.5,38.6,0.95,0.05,0.0,0.58,0.01,2,1790164860.3822005,False,True,False,False,1790099350.2358587,0,0,1,1,975,False
1790099350.1267283,20,1790164870.2887783,21.379034103913938,0.5877012283512627,21.266880292973212,True,37.5,36.5,38.6,0.95,0.05,0.0,0.58,0.01,2,1790164880.4330597,False,True,False,False,1790099350.2358587,0,0,1,1,977,False
1790099350.1267283,20,1790164890.383001,21.379034103913938,0.5873655298695354,21.2775616083009,True,37.5,36.5,38.6,0.95,0.05,0.0,0.58,0.01,2,1790164900.5372357,False,True,False,False,1790099350.2358587,0,0,1,1,980,False
1790099350.1267283,20,1790164910.4782481,21.379034103913938,0.587487602044709,21.293583581292438,True,37.5,36.5,38.6,0.95,0.05,0.0,0.58,0.01,2,1790164920.6487312,False,True,False,False,1790099350.2358587,0,0,1,1,979,False
1790099350.1267283,20,1790164930.5696309,21.395056076905462,0.5874570840009156,21.3015945677882,True,37.5,36.5,38.6,0.95,0.05,0.0,0.58,0.01,2,1790164940.71368,False,True,False,False,1790099350.2358587,0,0,1,1,978,False
1790099350.1267283,20,1790164950.6703303,21.408407721065075,0.5881437399862669,21.322957198443575,True,37.5,36.5,38.6,0.95,0.05,0.0,0.58,0.01,2,1790164960.837874,False,True,False,False,1790099350.2358587,0,0,1,1,984,False
1790099350.1267283,20,1790164970.7594934,21.408407721065075,0.5885709925993744,21.322957198443575,True,37.5,36.5,38.6,0.95,0.05,0.0,0.58,0.01,2,1790164980.9263954,False,True,False,False,1790099350.2358587,0,0,1,1,985,False
1790099350.1267283,20,1790164990.8485963,21.408407721065075,0.5885862516212711,21.3256275272755,True,37.5,36.5,38.6,0.95,0.05,0.0,0.58,0.01,2,1790165001.0194764,False,True,False,False,1790099350.2358587,0,0,1,1,986,False
1790099350.1267283,20,1790165010.9382837,21.379034103913938,0.5885557335774777,21.346990157930875,True,37.5,36.5,38.6,0.95,0.05,0.0,0.58,0.01,2,1790165021.0935595,False,True,False,False,1790099350.2358587,0,0,1,1,990,False
1790099350.1267283,20,1790165031.0485444,21.421759365224688,0.5887541008621348,21.333638513771263,True,37.5,36.5,38.6,0.95,0.05,0.0,0.58,0.01,2,1790165041.2153316,False,True,False,False,1790099350.2358587,0,0,1,1,995,False
1790099350.1267283,20,1790165051.1426477,21.421759365224688,0.5883573662928206,21.336308842603188,True,37.5,36.5,38.6,0.95,0.05,0.0,0.58,0.01,2,1790165061.3204596,False,True,False,False,1790099350.2358587,0,0,1,1,994,False
1790099350.1267283,20,1790165071.2374582,21.379034103913938,0.5880216678110933,21.32028686961165,True,37.5,36.5,38.6,0.95,0.05,0.0,0.58,0.01,2,1790165081.3547204,False,True,False,False,1790099350.2358587,0,0,1,1,996,False
1790099350.1267283,20,1790165091.3275216,21.408407721065075,0.5880827038986801,21.328297856107426,True,37.5,36.5,38.6,0.95,0.05,0.0,0.58,0.01,2,1790165101.4540958,False,True,False,False,1790099350.2358587,0,0,1,1,996,False
1790099350.1267283,20,1790165111.4203937,21.408407721065075,0.5879758907454032,21.314946211947813,True,37.5,36.5,38.6,0.95,0.05,0.0,0.58,0.01,2,1790165121.590923,False,True,False,False,1790099350.2358587,0,0,1,1,999,False
1790099350.1267283,20,1790165131.5104423,21.395056076905462,0.5882200350957504,21.330968184939337,True,37.5,36.5,38.6,0.95,0.05,0.0,0.58,0.01,2,1790165141.6367657,False,True,False,False,1790099350.2358587,0,0,1,1,1000,False
1790099350.1267283,20,1790165151.5995176,21.408407721065075,0.5887998779278248,21.312275883115888,True,37.5,36.5,38.6,0.95,0.05,0.0,0.58,0.01,2,1790165161.7931228,False,True,False,False,1790099350.2358587,0,0,1,1,1004,False
1790099350.1267283,20,1790165171.7001283,21.395056076905462,0.5892271305409323,21.3256275272755,True,37.5,36.5,38.6,0.95,0.05,0.0,0.58,0.01,2,1790165181.8568258,False,True,False,False,1790099350.2358587,0,0,1,1,1006,False
1790099350.1267283,20,1790165191.7988617,21.379034103913938,0.5894712748912795,21.330968184939337,True,37.5,36.5,38.6,0.95,0.05,0.0,0.58,0.01,2,1790165202.0270514,False,True,False,False,1790099350.2358587,0,0,1,1,1010,False
1790099350.1267283,20,1790165211.9217842,21.379034103913938,0.5892881666285191,21.32028686961165,True,37.5,36.5,38.6,0.95,0.05,0.0,0.58,0.01,2,1790165222.0663178,False,True,False,False,1790099350.2358587,0,0,1,1,1015,False
1790099350.1267283,20,1790165232.013236,21.379034103913938,0.589242389562829,21.3015945677882,True,37.5,36.5,38.6,0.95,0.05,0.0,0.58,0.01,2,1790165242.1527784,False,True,False,False,1790099350.2358587,0,0,1,1,1016,False
1790099350.1267283,20,1790165252.0958045,21.352330815594712,0.5887541008621348,21.266880292973212,True,37.5,36.5,38.6,0.95,0.05,0.0,0.58,0.01,2,1790165262.2651267,False,True,False,False,1790099350.2358587,0,0,1,1,1015,False
1790099350.1267283,20,1790165272.1897492,21.352330815594712,0.588189517051957,21.261539635309376,True,37.5,36.5,38.6,0.95,0.05,0.0,0.58,0.01,2,1790165282.374548,False,True,False,False,1790099350.2358587,0,0,1,1,1013,False
1790099350.1267283,20,1790165292.288439,21.379034103913938,0.5879758907454032,21.288242923628587,True,37.5,36.5,38.6,0.95,0.05,0.0,0.58,0.01,2,1790165302.4821677,False,True,False,False,1790099350.2358587,0,0,1,1,1013,False
1790099350.1267283,20,1790165312.3805823,21.352330815594712,0.587685969329366,21.2642099641413,True,37.5,36.5,38.6,0.95,0.05,0.0,0.58,0.01,2,1790165322.5419996,False,True,False,False,1790099350.2358587,0,0,1,1,1012,False
1790099350.1267283,20,1790165332.4688032,21.338979171435113,0.5874418249790189,21.248187991149763,True,37.5,36.5,38.6,0.95,0.05,0.0,0.58,0.01,2,1790165342.6059768,False,True,False,False,1790099350.2358587,0,0,1,1,1010,False
1790099350.1267283,20,1790165352.5644453,21.352330815594712,0.5871976806286717,21.269550621805138,True,37.5,36.5,38.6,0.95,0.05,0.0,0.58,0.01,2,1790165362.7545178,False,True,False,False,1790099350.2358587,0,0,1,1,1010,False
1790099350.1267283,20,1790165372.6638966,21.352330815594712,0.5867704280155642,21.28290226596475,True,37.5,36.5,38.6,0.95,0.05,0.0,0.58,0.01,2,1790165382.805795,False,True,False,False,1790099350.2358587,0,0,1,1,1010,False
1790099350.1267283,20,1790165392.7588584,21.365682459754325,0.5870603494316015,21.266880292973212,True,37.5,36.5,38.6,0.95,0.05,0.0,0.58,0.01,2,1790165402.9400086,False,True,False,False,1790099350.2358587,0,0,1,1,1010,False
1790099350.1267283,20,1790165412.863777,21.365682459754325,0.5869382772564279,21.290913252460513,True,37.5,36.5,38.6,0.95,0.05,0.0,0.58,0.01,2,1790165422.9953115,False,True,False,False,1790099350.2358587,0,0,1,1,1008,False
1790099350.1267283,20,1790165432.9588478,21.379034103913938,0.5871061264972915,21.285572594796676,True,37.5,36.5,38.6,0.95,0.05,0.0,0.58,0.01,2,1790165443.1353474,False,True,False,False,1790099350.2358587,0,0,1,1,1007,False
1790099350.1267283,20,1790165453.060198,21.352330815594712,0.5866483558403907,21.266880292973212,True,37.5,36.5,38.6,0.95,0.05,0.0,0.58,0.01,2,1790165463.2139463,False,True,False,False,1790099350.2358587,0,0,1,1,1007,False
1790099350.1267283,20,1790165473.149811,21.352330815594712,0.5865568017090105,21.296253910124364,True,37.5,36.5,38.6,0.95,0.05,0.0,0.58,0.01,2,1790165483.3491912,False,True,False,False,1790099350.2358587,0,0,1,1,1006,False
1790099350.1267283,20,1790165493.2482734,21.365682459754325,0.5870756084534982,21.293583581292438,True,37.5,36.5,38.6,0.95,0.05,0.0,0.58,0.01,2,1790165503.3923402,False,True,False,False,1790099350.2358587,0,0,1,1,1004,False
1790099350.1267283,20,1790165513.3344421,21.352330815594712,0.5867399099717708,21.304264896620126,True,37.5,36.5,38.6,0.95,0.05,0.0,0.58,0.01,2,1790165523.552104,False,True,False,False,1790099350.2358587,0,0,1,1,1005,False
1790099350.1267283,20,1790165533.4297938,21.365682459754325,0.5868162050812543,21.288242923628587,True,37.5,36.5,38.6,0.95,0.05,0.0,0.58,0.01,2,1790165543.6313844,False,True,False,False,1790099350.2358587,0,0,1,1,998,False
1790099350.1267283,20,1790165553.525493,21.365682459754325,0.5871976806286717,21.28290226596475,True,37.5,36.5,38.6,0.95,0.05,0.0,0.58,0.01,2,1790165563.6969132,False,True,False,False,1790099350.2358587,0,0,1,1,998,False
1790099350.1267283,20,1790165573.6163194,21.352330815594712,0.5865720607309072,21.309605554283962,True,37.5,36.5,38.6,0.95,0.05,0.0,0.58,0.01,2,1790165583.8057096,False,True,False,False,1790099350.2358587,0,0,1,1,998,False
1790099350.1267283,20,1790165593.737111,21.352330815594712,0.5864499885557336,21.28290226596475,True,37.5,36.5,38.6,0.95,0.05,0.0,0.58,0.01,2,1790165603.9115987,False,True,False,False,1790099350.2358587,0,0,1,1,996,False
1790099350.1267283,20,1790165613.824276,21.352330815594712,0.5867093919279774,21.27489127946899,True,37.5,36.5,38.6,0.95,0.05,0.0,0.58,0.01,2,1790165623.9926925,False,True,False,False,1790099350.2358587,0,0,1,1,994,False
1790099350.1267283,20,1790165633.9131725,21.365682459754325,0.5862516212710766,21.296253910124364,True,37.5,36.5,38.6,0.95,0.05,0.0,0.58,0.01,2,1790165644.0838277,False,True,False,False,1790099350.2358587,0,0,1,1,992,False
1790099350.1267283,20,1790165654.0095227,21.338979171435113,0.5862668802929732,21.272220950637063,True,37.5,36.5,38.6,0.95,0.05,0.0,0.58,0.01,2,1790165664.1999419,False,True,False,False,1790099350.2358587,0,0,1,1,988,False
1790099350.1267283,20,1790165674.1113405,21.352330815594712,0.5861142900740063,21.266880292973212,True,37.5,36.5,38.6,0.95,0.05,0.0,0.58,0.01,2,1790165684.3104815,False,True,False,False,1790099350.2358587,0,0,1,1,987,False
1790099350.1267283,20,1790165694.197231,21.338979171435113,0.5861753261615931,21.27489127946899,True,37.5,36.5,38.6,0.95,0.05,0.0,0.58,0.01,2,1790165704.344397,False,True,False,False,1790099350.2358587,0,0,1,1,983,False
1790099350.1267283,20,1790165714.2840815,21.352330815594712,0.5859464408331426,21.25886930647745,True,37.5,36.5,38.6,0.95,0.05,0.0,0.58,0.01,2,1790165724.4292831,False,True,False,False,1790099350.2358587,0,0,1,1,981,False
1790099350.1267283,20,1790165734.3707643,21.309605554283962,0.5860532539864195,21.272220950637063,True,37.5,36.5,38.6,0.95,0.05,0.0,0.58,0.01,2,1790165744.49709,False,True,False,False,1790099350.2358587,0,0,1,1,982,False
1790099350.1267283,20,1790165754.4657772,21.338979171435113,0.5859616998550393,21.261539635309376,True,37.5,36.5,38.6,0.95,0.05,0.0,0.58,0.01,2,1790165764.5937095,False,True,False,False,1790099350.2358587,0,0,1,1,985,False
1790099350.1267283,20,1790165774.5599706,21.338979171435113,0.5860532539864195,21.245517662317837,True,37.5,36.5,38.6,0.95,0.05,0.0,0.58,0.01,2,1790165784.7602172,False,True,False,False,1790099350.2358587,0,0,1,1,980,False
1790099350.1267283,20,1790165794.6736867,21.352330815594712,0.5858701457236591,21.237506675822075,True,37.5,36.5,38.6,0.95,0.05,0.0,0.58,0.01,2,1790165804.843091,False,True,False,False,1790099350.2358587,0,0,1,1,979,False
1790099350.1267283,20,1790165814.7708368,21.338979171435113,0.585626001373312,21.25886930647745,True,37.5,36.5,38.6,0.95,0.05,0.0,0.58,0.01,2,1790165824.9522598,False,True,False,False,1790099350.2358587,0,0,1,1,976,False
1790099350.1267283,20,1790165834.8657594,21.338979171435113,0.5855039291981384,21.269550621805138,True,37.5,36.5,38.6,0.95,0.05,0.0,0.58,0.01,2,1790165845.0322855,False,True,False,False,1790099350.2358587,0,0,1,1,976,False
1790099350.1267283,20,1790165854.9626439,21.352330815594712,0.5853208209353781,21.248187991149763,True,37.5,36.5,38.6,0.95,0.05,0.0,0.58,0.01,2,1790165865.1426098,False,True,False,False,1790099350.2358587,0,0,1,1,974,False
1790099350.1267283,20,1790165875.060997,21.322957198443575,0.5856412603952087,21.261539635309376,True,37.5,36.5,38.6,0.95,0.05,0.0,0.58,0.01,2,1790165885.242158,False,True,False,False,1790099350.2358587,0,0,1,1,972,False
1790099350.1267283,20,1790165895.1622722,21.322957198443575,0.5853971160448616,21.256198977645525,True,37.5,36.5,38.6,0.95,0.05,0.0,0.58,0.01,2,1790165905.358281,False,True,False,False,1790099350.2358587,0,0,1,1,974,False
1790099350.1267283,20,1790165915.2614892,21.338979171435113,0.5860074769207294,21.266880292973212,True,37.5,36.5,38.6,0.95,0.05,0.0,0.58,0.01,2,1790165925.4587755,False,True,False,False,1790099350.2358587,0,0,1,1,973,False
1790099350.1267283,20,1790165935.3613575,21.322957198443575,0.5856870374608988,21.266880292973212,True,37.5,36.5,38.6,0.95,0.05,0.0,0.58,0.01,2,1790165945.5857933,False,True,False,False,1790099350.2358587,0,0,1,1,970,False
1790099350.1267283,20,1790165955.5044892,21.352330815594712,0.5862211032272832,21.266880292973212,True,37.5,36.5,38.6,0.95,0.05,0.0,0.58,0.01,2,1790165965.7042305,False,True,False,False,1790099350.2358587,0,0,1,1,968,False
1790099350.1267283,20,1790165975.6096766,21.322957198443575,0.5859159227893492,21.256198977645525,True,37.5,36.5,38.6,0.95,0.05,0.0,0.58,0.01,2,1790165985.7727468,False,True,False,False,1790099350.2358587,0,0,1,1,968,False
1790099350.1267283,20,1790165995.7027802,21.322957198443575,0.5860990310521096,21.2642099641413,True,37.5,36.5,38.6,0.95,0.05,0.0,0.58,0.01,2,1790166005.884276,False,True,False,False,1790099350.2358587,0,0,1,1,962,False
1790099350.1267283,20,1790166015.79715,21.322957198443575,0.5862363622491799,21.269550621805138,True,37.5,36.5,38.6,0.95,0.05,0.0,0.58,0.01,2,1790166025.9552512,False,True,False,False,1790099350.2358587,0,0,1,1,963,False
1790099350.1267283,20,1790166035.8991885,21.352330815594712,0.5857938506141757,21.266880292973212,True,37.5,36.5,38.6,0.95,0.05,0.0,0.58,0.01,2,1790166046.0609612,False,True,False,False,1790099350.2358587,0,0,1,1,964,False
1790099350.1267283,20,1790166055.9982703,21.322957198443575,0.5860074769207294,21.266880292973212,True,37.5,36.5,38.6,0.95,0.05,0.0,0.58,0.01,2,1790166066.1662486,False,True,False,False,1790099350.2358587,0,0,1,1,968,False
1790099350.1267283,20,1790166076.0867248,21.352330815594712,0.5859006637674525,21.280231937132825,True,37.5,36.5,38.6,0.95,0.05,0.0,0.58,0.01,2,1790166086.2461166,False,True,False,False,1790099350.2358587,0,0,1,1,972,False
1790099350.1267283,20,1790166096.175968,21.322957198443575,0.5859616998550393,21.248187991149763,True,37.5,36.5,38.6,0.95,0.05,0.0,0.58,0.01,2,1790166106.3636544,False,True,False,False,1790099350.2358587,0,0,1,1,969,False
1790099350.1267283,20,1790166116.272883,21.322957198443575,0.5857328145265889,21.245517662317837,True,37.5,36.5,38.6,0.95,0.05,0.0,0.58,0.01,2,1790166126.4691691,False,True,False,False,1790099350.2358587,0,0,1,1,970,False
1790099350.1267283,20,1790166136.3863845,21.322957198443575,0.585778591592279,21.25085831998169,True,37.5,36.5,38.6,0.95,0.05,0.0,0.58,0.01,2,1790166146.5745437,False,True,False,False,1790099350.2358587,0,0,1,1,974,False
1790099350.1267283,20,1790166156.4722865,21.322957198443575,0.586129549095903,21.256198977645525,True,37.5,36.5,38.6,0.95,0.05,0.0,0.58,0.01,2,1790166166.675674,False,True,False,False,1790099350.2358587,0,0,1,1,982,False
1790099350.1267283,20,1790166176.5753632,21.322957198443575,0.5858701457236591,21.237506675822075,True,37.5,36.5,38.6,0.95,0.05,0.0,0.58,0.01,2,1790166186.7356653,False,True,False,False,1790099350.2358587,0,0,1,1,979,False
1790099350.1267283,20,1790166196.6660285,21.352330815594712,0.5855954833295186,21.242847333485926,True,37.5,36.5,38.6,0.95,0.05,0.0,0.58,0.01,2,1790166206.843299,False,True,False,False,1790099350.2358587,0,0,1,1,980,False
1790099350.1267283,20,1790166216.763683,21.322957198443575,0.5857328145265889,21.25886930647745,True,37.5,36.5,38.6,0.95,0.05,0.0,0.58,0.01,2,1790166226.9027488,False,True,False,False,1790099350.2358587,0,0,1,1,979,False
1790099350.1267283,20,1790166236.8654196,21.338979171435113,0.5859006637674525,21.266880292973212,True,37.5,36.5,38.6,0.95,0.05,0.0,0.58,0.01,2,1790166247.0099723,False,True,False,False,1790099350.2358587,0,0,1,1,977,False
1790099350.1267283,20,1790166256.9579196,21.309605554283962,0.5862211032272832,21.240177004654,True,37.5,36.5,38.6,0.95,0.05,0.0,0.58,0.01,2,1790166267.1280408,False,True,False,False,1790099350.2358587,0,0,1,1,979,False
1790099350.1267283,20,1790166277.050318,21.322957198443575,0.5860837720302129,21.224155031662463,True,37.5,36.5,38.6,0.95,0.05,0.0,0.58,0.01,2,1790166287.2530255,False,True,False,False,1790099350.2358587,0,0,1,1,977,False
