experiment_state_timestamp,save_interval_secs,last_save_timestamp,temperature_1_C,humidity_1,temperature_2_C,egg_turning_on,target_temperature,boost_temperature,cooling_start_temperature,heating_proportional_Cf,heating_integral_Cf,heating_derivitive_Cf,target_humidity,range_humidity,control_change_minimum_secs,last_control_change_timestamp,front_turn_switch,rear_turn_switch,top_switch,venting_state,last_venting_timestamp,exhaust_on,humidifyer_on,heater_on,boost_on,fan_on
1783947642.4476278,20,1784397486.6211042,37.40100709544518,0.611473258564126,-500,True,37.5,36.5,38.6,0.95,0.05,0.0,0.7,0.03,2,1784397496.6473744,False,False,True,False,1784397455.2081716,False,True,1,0,False
1783947642.4476278,20,1784397506.6269333,37.43305104142824,0.6118356603341727,-500,True,37.5,36.5,38.6,0.95,0.05,0.0,0.7,0.03,2,1784397516.6530416,False,False,True,False,1784397455.2081716,False,True,1,0,False
1783947642.4476278,20,1784397526.6328301,37.438391699092094,0.6119119554436562,-500,True,37.5,36.5,38.6,0.95,0.05,0.0,0.7,0.03,2,1784397536.6589036,False,False,True,False,1784397455.2081716,False,True,1,0,False
1783947642.4476278,20,1784397546.6387286,37.47310597390707,0.6119882505531397,-500,True,37.5,36.5,38.6,0.95,0.05,0.0,0.7,0.03,2,1784397556.6649113,False,False,True,False,1784397455.2081716,False,True,1,0,False
1783947642.4476278,20,1784397566.6446733,37.470435645075156,0.6118356603341727,-500,True,37.5,36.5,38.6,0.95,0.05,0.0,0.7,0.03,2,1784397576.6762524,False,False,True,False,1784397455.2081716,False,True,1,0,False
1783947642.4476278,20,1784397586.6560376,37.507820248722055,0.6121026932173648,-500,True,37.5,36.5,38.6,0.95,0.05,0.0,0.7,0.03,2,1784397596.682094,False,False,True,False,1784397455.2081716,False,1,0,0,False
1783947642.4476278,20,1784397606.6619623,37.50247959105822,0.6119691767757687,-500,True,37.5,36.5,38.6,0.95,0.05,0.0,0.7,0.03,2,1784397616.6879725,True,False,True,False,1784397455.2081716,False,1,0,0,False
1783947642.4476278,20,1784397626.6678028,37.51850156404974,0.6120263981078813,-500,True,37.5,36.5,38.6,0.95,0.05,0.0,0.7,0.03,2,1784397636.6938539,True,False,True,True,1784397635.2081907,False,1,0,0,False
1783947642.4476278,20,1784397646.6736314,37.50514991989013,0.6122743572137026,-500,True,37.5,36.5,38.6,0.95,0.05,0.0,0.7,0.03,2,1784397656.699642,True,False,True,False,1784397635.2081907,False,1,0,0,False
1783947642.4476278,20,1784397666.6795225,37.44907301441978,0.6120454718852522,-500,True,37.5,36.5,38.6,0.95,0.05,0.0,0.7,0.03,2,1784397676.7056062,True,False,True,False,1784397635.2081907,False,True,1,0,False
1783947642.4476278,20,1784397686.6854343,37.45441367208362,0.61177843900206,-500,True,37.5,36.5,38.6,0.95,0.05,0.0,0.7,0.03,2,1784397696.7114367,True,False,True,False,1784397635.2081907,False,True,1,0,False
1783947642.4476278,20,1784397706.6912646,37.47577630273899,0.6120073243305104,-500,True,37.5,36.5,38.6,0.95,0.05,0.0,0.7,0.03,2,1784397716.7172947,True,False,True,False,1784397635.2081907,False,True,1,0,False
