experiment_state_timestamp,save_interval_secs,last_save_timestamp,temperature_1_C,humidity_1,temperature_2_C,egg_turning_on,target_temperature,boost_temperature,cooling_start_temperature,heating_proportional_Cf,heating_integral_Cf,heating_derivitive_Cf,target_humidity,range_humidity,control_change_minimum_secs,last_control_change_timestamp,front_turn_switch,rear_turn_switch,top_switch,venting_state,last_venting_timestamp,exhaust_on,humidifyer_on,heater_on,boost_on,fan_on
1782921971.6444275,20,1782943890.2133057,38.12199588006409,0.68145494773785,-500,True,37.5,36.5,38.6,0.095,0.0005,0.0,0.7,0.03,2,1782943900.2481713,1,0,0,False,1782943751.6784303,0,0,0,0,False
1782921971.6444275,20,1782943910.2257447,38.095292591744865,0.6814358739604792,-500,True,37.5,36.5,38.6,0.095,0.0005,0.0,0.7,0.03,2,1782943920.257564,1,0,0,False,1782943751.6784303,0,0,0,0,False
1782921971.6444275,20,1782943930.2349608,38.07392996108949,0.6816456855115587,-500,True,37.5,36.5,38.6,0.095,0.0005,0.0,0.7,0.03,2,1782943940.2652154,1,0,0,True,1782943931.6784527,0,0,0,0,False
1782921971.6444275,20,1782943950.2441218,38.10864423590448,0.6815884641794462,-500,True,37.5,36.5,38.6,0.095,0.0005,0.0,0.7,0.03,2,1782943960.278702,1,0,0,False,1782943931.6784527,0,0,0,0,False
1782921971.6444275,20,1782943970.2544138,38.092622262912954,0.6818936446173801,-500,True,37.5,36.5,38.6,0.095,0.0005,0.0,0.7,0.03,2,1782943980.2857518,1,0,0,False,1782943931.6784527,0,0,0,0,False
1782921971.6444275,20,1782943990.2657523,38.068589303425654,0.6818554970626383,-500,True,37.5,36.5,38.6,0.095,0.0005,0.0,0.7,0.03,2,1782944000.2949042,1,0,0,False,1782943931.6784527,0,0,0,0,False
1782921971.6444275,20,1782944010.2741952,38.095292591744865,0.6817601281757839,-500,True,37.5,36.5,38.6,0.095,0.0005,0.0,0.7,0.03,2,1782944020.3114667,1,0,0,False,1782943931.6784527,0,0,0,0,False
1782921971.6444275,20,1782944030.2831347,38.08995193408103,0.6816266117341878,-500,True,37.5,36.5,38.6,0.095,0.0005,0.0,0.7,0.03,2,1782944040.3162775,1,0,0,False,1782943931.6784527,0,0,0,0,False
1782921971.6444275,20,1782944050.2944598,38.09796292057679,0.6815121690699627,-500,True,37.5,36.5,38.6,0.095,0.0005,0.0,0.7,0.03,2,1782944060.3242335,1,0,0,False,1782943931.6784527,0,0,0,0,False
1782921971.6444275,20,1782944070.3028638,38.092622262912954,0.6815503166247043,-500,True,37.5,36.5,38.6,0.095,0.0005,0.0,0.7,0.03,2,1782944080.3353252,1,0,0,False,1782943931.6784527,0,0,0,0,False
1782921971.6444275,20,1782944090.311943,38.08995193408103,0.6818745708400091,-500,True,37.5,36.5,38.6,0.095,0.0005,0.0,0.7,0.03,2,1782944100.3455088,1,0,0,False,1782943931.6784527,0,0,0,0,False
1782921971.6444275,20,1782944110.323178,38.10597390707255,0.6820462348363471,-500,True,37.5,36.5,38.6,0.095,0.0005,0.0,0.7,0.03,2,1782944120.3551216,1,0,0,True,1782944111.6784678,0,0,0,0,False
